person_id_random,birthday,gender,signup_date,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,use_mobile_wallet_how_often,relationship_status,is_employed
8548843141,7/11/88,M,3/20/14 10:37,,,,,,,,,,google_play_store,,10+,,
5334896838,3/10/80,M,3/22/14 21:07,557,,,,,,,,,,,9-Apr,,
4656062708,9/22/73,M,4/3/14 3:07,308,,,,,,,,,facebook,no,10+,,
2283557917,11/22/85,F,5/2/14 0:57,115,5+,10,pay_rent,,,,50000,monthly,facebook,no,daily,,
8449258035,9/12/88,F,5/2/14 11:23,473,3,0,pay_rent,,,,,weekly,family,no,daily,,
2287514871,,M,5/3/14 4:13,1168,2,0,pay_rent,,,,30000,monthly,,no,daily,,
4017268696,7/16/83,M,5/3/14 4:49,925,1,2,Live with my parent,,,,15000,monthly,friend,no,few_times_a_week,,
5585643436,6/21/88,F,5/4/14 7:15,465,1,,pay_rent,2,7,,40000,monthly,,yes,few_times_a_week,,
4239791639,3/2/24,F,5/6/14 22:46,65,4,0,pay_rent,3,,,8000,monthly,,no,few_times_a_week,,
3585535472,11/22/74,M,5/7/14 2:25,839,2,4,pay_rent,,7,,1500,daily,,no,few_times_a_week,,
3342477379,3/21/79,F,5/7/14 6:34,636,4,0,pay_rent,5+,,,30000,monthly,friend,no,few_times_a_week,,
5346231779,7/10/85,F,5/7/14 11:09,412,2,0,pay_rent,4,,,6000,weekly,,no,daily,,
1341618714,,F,5/7/14 23:11,3283,0,2,pay_rent,1,,,15000,monthly,,no,few_times_a_week,,
6891187473,12/29/83,M,5/13/14 1:50,122,0,,pay_rent,4,,,,weekly,,no,few_times_a_week,,
9545294644,3/3/83,M,5/13/14 5:53,147,0,9,pay_rent,2,,,9500,monthly,,yes,daily,,
3884829185,8/11/83,F,5/14/14 23:05,278,5+,5,live at our parents home,2,0,,40000,monthly,,no,few_times_a_week,,
3422259391,9/19/89,M,5/15/14 5:07,392,5+,5,pay_rent,3,0,,2500,"Freelance IT Personnel,earns money making deliveries such printing papers, repairing computers, web designer etc",,no,few_times_a_week,,
7357826278,7/17/19,M,5/15/14 5:26,380,4,2,pay_rent,5+,,,60000,monthly,,no,daily,,
4342241928,5/9/62,M,5/15/14 9:49,142,2,8,pay_rent,,,,20000,monthly,,no,few_times_a_week,,
2535099359,,M,5/16/14 6:31,411,5+,0,pay_rent,,,,16000,monthly,,yes,few_times_a_week,,
1911454239,4/21/84,F,5/18/14 23:20,199,4,0,own_home,,,,30000,weekly,,no,daily,,
3930083269,7/11/83,M,5/19/14 4:26,170,5+,11,living in a family home,4,,,15000,monthly,,yes,few_times_a_week,,
3670141772,1/26/93,F,5/19/14 9:25,495,4,,pay_rent,0,,,500,daily,,no,few_times_a_week,,
